time,velocity
0.01001,13.624477378
0.02001,12.7354750644
0.03001,11.8451094222
0.04001,10.9538993563
0.05001,10.0623610579
0.06001,9.17100753433
0.07001,8.28034814384
0.08001,7.39088813461
0.09001,6.50312818956
0.10001,5.61756397638
0.11001,4.73468570336
0.12001,3.85497768129
0.13001,2.97891789157
0.14001,2.10697756106
0.15001,1.23962074381
0.16001,0.377303910125
0.17001,0.479524456773
0.18001,1.33042425605
0.19001,2.17496415625
0.20001,3.01272197341
0.21001,3.84328504011
0.22001,4.66625056484
0.23001,5.48122598136
0.24001,6.28782928761
0.25001,7.08568937362
0.26001,7.87444633805
0.27001,8.65375179284
0.28001,9.42326915547
0.29001,10.1826739283
0.30001,10.9316539648
0.31001,11.6699097214
0.32001,12.3971544953
0.33001,13.1131146478
0.34001,13.8175298112
0.35001,14.510153081
0.36001,15.1907511907
0.37001,15.8591046709
0.38001,16.5150079898
0.39001,17.1582696773
0.40001,17.78871243
0.41001,18.4061731982
0.42001,19.0105032537
0.43001,19.6015682386
0.44001,20.1792481942
0.45001,20.7434375705
0.46001,21.2940452153
0.47001,21.8309943434
0.48001,22.354222485
0.49001,22.8636814139
0.50001,23.3593370551
0.51001,23.8411693718
0.52001,24.309172232
0.53001,24.7633532548
0.54001,25.2037336364
0.55001,25.6303479562
0.56001,26.0432439633
0.57001,26.4424823436
0.58001,26.8281364684
0.59001,27.2002921238
0.60001,27.5590472233
0.61001,27.9045115026
0.62001,28.2368061975
0.63001,28.5560637067
0.64001,28.8624272393
0.65001,29.1560504474
0.66001,29.4370970466
0.67001,29.7057404229
0.68001,29.9621632287
0.69001,30.2065569687
0.70001,30.4391215756
0.710010000000001,30.6600649785
0.72001,30.8696026629
0.730010000000001,31.0679572262
0.74001,31.255357927
0.750010000000001,31.4320402312
0.760010000000001,31.598245356
0.770010000000001,31.7542198107
0.780010000000001,31.9002149427
0.79001,32.0364864672
0.800010000000001,32.1632940377
0.810010000000001,32.2809007672
0.82001,32.3895727924
0.830010000000001,32.489578833
0.840010000000001,32.5811897518
0.850010000000001,32.6646781267
0.860010000000001,32.7403178302
0.870010000000001,32.8083836171
0.880010000000001,32.8691507237
0.890010000000001,32.9228944753
0.900010000000001,32.9698899075
0.910010000000001,33.0104113973
0.920010000000001,33.0447323082
0.930010000000001,33.0731246475
0.940010000000001,33.0958587374
0.950010000000001,33.1132028997
0.960010000000001,33.1254231544
0.970010000000001,33.1327829335
0.980010000000001,33.1355428079
0.990010000000001,33.1339602298
1.00001,33.1282892891
1.01001,33.1187804847
1.02001,33.1056805097
1.03001,33.0892320511
1.04001,33.0696736028
1.05001,33.0472392928
1.06001,33.0221587235
1.07001,32.994656824
1.08001,32.9649537158
1.09001,32.9332645889
1.10001,32.8997995906
1.11001,32.8647637231
1.12001,32.8283567522
1.13001,32.7907731241
1.14001,32.7522018914
1.15001,32.7128266457
1.16001,32.6728254575
1.17001,32.6323708215
1.18001,32.5916296066
1.19001,32.5507630099
1.20001,32.5099265139
1.21001,32.4692698446
1.22001,32.4289369315
1.23001,32.3890658658
1.24001,32.3497888584
1.25001,32.3112321944
1.26001,32.2735161837
1.27001,32.2367551063
1.28001,32.2010571513
1.29001,32.1665243473
1.30001,32.1332524836
1.31001,32.1013310204
1.32001,32.0708429861
1.33001,32.0418648602
1.34001,32.0144664403
1.35001,31.9887106905
1.36001,31.9646535705
1.37001,31.9423438413
1.38001,31.9218228476
1.39001,31.9031242723
1.40001,31.8862738617
1.41001,31.8712891186
1.42001,31.8581789593
1.43001,31.846943333
1.44001,31.8375727983
1.45001,31.8300480536
1.46001,31.8243394186
1.47001,31.8204062604
1.48001,31.8181963607
1.49001,31.8176452191
1.50001,31.8186752856
1.51001,31.8211951179
1.52001,31.8250984547
1.53001,31.8302631999
1.54001,31.8365503082
1.55001,31.8438025641
1.56001,31.8518432446
1.57001,31.8604746556
1.58001,31.8694765304
1.59001,31.8786042778
1.60001,31.887587067
1.61001,31.8961257339
1.62001,31.9038904929
1.63001,31.9105184364
1.64001,31.9156108032
1.65001,31.9187299937
1.66001,31.9193963096
1.67001,31.9170843921
1.68001,31.9112193313
1.69001,31.9011724159
1.70001,31.8862564903
1.71001,31.8657208816
1.72001,31.8387458584
1.73001,31.8044365755
1.74001,31.761816458
1.75001,31.7098199717
1.76001,31.6472847228
1.77001,31.5729428246
1.78001,31.485411462
1.79001,31.3831825798
1.80001,31.2646116134
1.81001,31.1279051741
1.82001,30.9711075915
1.83001,30.792086211
1.84001,30.5885153321
1.85001,30.3578586676
1.86001,30.0973501929
1.87001,29.8039732475
1.88001,29.4744377395
1.89001,29.1051552995
1.90001,28.6922122212
1.91001,28.2313400207
1.92001,27.7178834468
1.93001,27.1467657737
1.94001,26.5124512168
1.95001,25.8089043263
1.96001,25.0295462395
1.97001,24.1672077114
1.98001,23.2140789028
1.99001,22.1616559872
2.00001,21.0006847519
2.01001,19.7211015296
2.02001,18.3119720061
2.03001,16.7614287331
2.04001,15.0566085491
2.05001,13.1835915979
2.06001,11.1273442663
2.07001,8.87166917291
2.08001,6.39916637732
2.09001,3.6912112795
2.10001,0.72795631168
2.11001,2.51163446868
2.12001,6.04970633677
2.13001,9.90937595341
2.14001,14.1145166728
2.15001,18.6894454487
2.16001,23.6584855677
2.17001,29.0453752962
2.18001,34.8724888295
2.19001,41.1598334179
2.20001,47.9237863301
2.21001,55.1755389213
2.22001,62.9192245028
2.23001,71.1497243506
2.24001,79.8501745848
2.25001,88.9892380586
2.26001,98.5182609022
2.27001,108.368501815
