20,65,15,10,26.7127971509,19.9956536439,6.717143507
20,65,15,11,26.7127971509,19.9956536439,6.717143507
20,65,15,12,26.7127971509,19.9956536439,6.717143507
20,65,15,13,26.7127971509,19.9956536439,6.717143507
20,65,15,14,26.7127971509,19.9956536439,6.717143507
20,65,15,15,26.7127971509,19.9956536439,6.717143507
20,65,15,16,26.7127971509,19.9956536439,6.717143507
20,65,15,17,26.7127971509,19.9956536439,6.717143507
20,65,15,18,26.7127971509,19.9956536439,6.717143507
20,65,15,19,26.7127971509,19.9956536439,6.717143507
20,65,16,10,25.7687805657,20.0003401107,5.768440455
20,65,16,11,25.7687805657,20.0003401107,5.768440455
20,65,16,12,25.7687805657,20.0003401107,5.768440455
20,65,16,13,25.7687805657,20.0003401107,5.768440455
20,65,16,14,25.7687805657,20.0003401107,5.768440455
20,65,16,15,25.7687805657,20.0003401107,5.768440455
20,65,16,16,25.7687805657,20.0003401107,5.768440455
20,65,16,17,25.7687805657,20.0003401107,5.768440455
20,65,16,18,25.7687805657,20.0003401107,5.768440455
20,65,16,19,25.7687805657,20.0003401107,5.768440455
20,65,17,10,25.0702838181,19.9993178153,5.0709660028
20,65,17,11,25.0702838181,19.9993178153,5.0709660028
20,65,17,12,25.0702838181,19.9993178153,5.0709660028
20,65,17,13,25.0702838181,19.9993178153,5.0709660028
20,65,17,14,25.0702838181,19.9993178153,5.0709660028
20,65,17,15,25.0702838181,19.9993178153,5.0709660028
20,65,17,16,25.0702838181,19.9993178153,5.0709660028
20,65,17,17,25.0702838181,19.9993178153,5.0709660028
20,65,17,18,25.0702838181,19.9993178153,5.0709660028
20,65,17,19,25.0702838181,19.9993178153,5.0709660028
20,65,18,10,24.524553506,19.9943656498,4.5301878562
20,65,18,11,24.524553506,19.9943656498,4.5301878562
20,65,18,12,24.524553506,19.9943656498,4.5301878562
20,65,18,13,24.524553506,19.9943656498,4.5301878562
20,65,18,14,24.524553506,19.9943656498,4.5301878562
20,65,18,15,24.524553506,19.9943656498,4.5301878562
20,65,18,16,24.524553506,19.9943656498,4.5301878562
20,65,18,17,24.524553506,19.9943656498,4.5301878562
20,65,18,18,24.524553506,19.9943656498,4.5301878562
20,65,18,19,24.524553506,19.9943656498,4.5301878562
20,65,19,10,24.0905832656,19.9872828608,4.1033004048
20,65,19,11,24.0905832656,19.9872828608,4.1033004048
20,65,19,12,24.0905832656,19.9872828608,4.1033004048
20,65,19,13,24.0905832656,19.9872828608,4.1033004048
20,65,19,14,24.0905832656,19.9872828608,4.1033004048
20,65,19,15,24.0905832656,19.9872828608,4.1033004048
20,65,19,16,24.0905832656,19.9872828608,4.1033004048
20,65,19,17,24.0905832656,19.9872828608,4.1033004048
20,65,19,18,24.0905832656,19.9872828608,4.1033004048
20,65,19,19,24.0905832656,19.9872828608,4.1033004048
20,65,20,10,24.2672369437,19.9787115508,4.2885253929
20,65,20,11,24.2672369437,19.9787115508,4.2885253929
20,65,20,12,24.2672369437,19.9787115508,4.2885253929
20,65,20,13,24.2672369437,19.9787115508,4.2885253929
20,65,20,14,24.2672369437,19.9787115508,4.2885253929
20,65,20,15,24.2672369437,19.9787115508,4.2885253929
20,65,20,16,24.2672369437,19.9787115508,4.2885253929
20,65,20,17,24.2672369437,19.9787115508,4.2885253929
20,65,20,18,24.2672369437,19.9787115508,4.2885253929
20,65,20,19,24.2672369437,19.9787115508,4.2885253929
20,65,21,10,24.4716485054,19.9694464483,4.5022020571
20,65,21,11,24.4716485054,19.9694464483,4.5022020571
20,65,21,12,24.4716485054,19.9694464483,4.5022020571
20,65,21,13,24.4716485054,19.9694464483,4.5022020571
20,65,21,14,24.4716485054,19.9694464483,4.5022020571
20,65,21,15,24.4716485054,19.9694464483,4.5022020571
20,65,21,16,24.4716485054,19.9694464483,4.5022020571
20,65,21,17,24.4716485054,19.9694464483,4.5022020571
20,65,21,18,24.4716485054,19.9694464483,4.5022020571
20,65,21,19,24.4716485054,19.9694464483,4.5022020571
20,65,22,10,24.6588502623,19.9589747752,4.6998754871
20,65,22,11,24.6588502623,19.9589747752,4.6998754871
20,65,22,12,24.6588502623,19.9589747752,4.6998754871
20,65,22,13,24.6588502623,19.9589747752,4.6998754871
20,65,22,14,24.6588502623,19.9589747752,4.6998754871
20,65,22,15,24.6588502623,19.9589747752,4.6998754871
20,65,22,16,24.6588502623,19.9589747752,4.6998754871
20,65,22,17,24.6588502623,19.9589747752,4.6998754871
20,65,22,18,24.6588502623,19.9589747752,4.6998754871
20,65,22,19,24.6588502623,19.9589747752,4.6998754871
20,65,23,10,24.829641149,19.9483704068,4.8812707422
20,65,23,11,24.829641149,19.9483704068,4.8812707422
20,65,23,12,24.829641149,19.9483704068,4.8812707422
20,65,23,13,24.829641149,19.9483704068,4.8812707422
20,65,23,14,24.829641149,19.9483704068,4.8812707422
20,65,23,15,24.829641149,19.9483704068,4.8812707422
20,65,23,16,24.829641149,19.9483704068,4.8812707422
20,65,23,17,24.829641149,19.9483704068,4.8812707422
20,65,23,18,24.829641149,19.9483704068,4.8812707422
20,65,23,19,24.829641149,19.9483704068,4.8812707422
20,65,24,10,24.9890953474,19.9377309582,5.0513643892
20,65,24,11,24.9890953474,19.9377309582,5.0513643892
20,65,24,12,24.9890953474,19.9377309582,5.0513643892
20,65,24,13,24.9890953474,19.9377309582,5.0513643892
20,65,24,14,24.9890953474,19.9377309582,5.0513643892
20,65,24,15,24.9890953474,19.9377309582,5.0513643892
20,65,24,16,24.9890953474,19.9377309582,5.0513643892
