time,velocity
1.38001,31.973079061
1.39001,31.9477370306
1.40001,31.9241544436
1.41001,31.902355515
1.42001,31.8823561139
1.43001,31.8641634745
1.44001,31.8477758738
1.45001,31.8331822733
1.46001,31.8203619221
1.47001,31.8092839188
1.48001,31.7999067277
1.49001,31.7921776479
1.50001,31.7860322293
1.51001,31.7813936341
1.52001,31.7781719378
1.53001,31.7762633662
1.54001,31.7755494636
1.55001,31.7758961873
1.56001,31.7771529226
1.57001,31.7791514142
1.58001,31.7817046052
1.59001,31.7846053811
1.60001,31.7876252087
1.61001,31.7905126648
1.62001,31.7929918468
1.63001,31.7947606574
1.64001,31.7954889546
1.65001,31.7948165595
1.66001,31.7923511122
1.67001,31.7876657667
1.68001,31.7802967156
1.69001,31.7697405349
1.70001,31.7554513388
1.71001,31.7368377346
1.72001,31.7132595694
1.73001,31.6840244569
1.74001,31.6483840776
1.75001,31.6055302428
1.76001,31.5545907161
1.77001,31.4946247869
1.78001,31.4246185907
1.79001,31.3434801769
1.80001,31.2500343245
1.81001,31.1430171106
1.82001,31.0210702439
1.83001,30.8827351768
1.84001,30.7264470202
1.85001,30.5505282923
1.86001,30.3531825416
1.87001,30.1324878989
1.88001,29.8863906234
1.89001,29.6126987294
1.90001,29.309075795
1.91001,28.9730350797
1.92001,28.6019341033
1.93001,28.1929698685
1.94001,27.743174944
1.95001,27.249414665
1.96001,26.7083857496
1.97001,26.116616683
1.98001,25.4704702707
1.99001,24.7661488242
2.00001,23.999702505
2.01001,23.1670414187
2.02001,22.2639521195
2.03001,21.2861192517
2.04001,20.2291531199
2.05001,19.0886240306
2.06001,17.8601042911
2.07001,16.5392187651
2.08001,15.1217048735
2.09001,13.6034828667
2.10001,11.9807370824
2.11001,10.2500087121
2.12001,8.40830032228
2.13001,6.45319199
2.14001,4.38296840109
2.15001,2.19675561302
2.16001,0.105334611562
2.17001,2.5220559308
2.18001,5.05087810389
2.19001,7.68784247571
2.20001,10.4274287024
2.21001,13.2624402838
2.22001,16.1839174236
2.23001,19.1810863737
2.24001,22.2413545716
2.25001,25.3503603796
2.26001,28.492084932
2.27001,31.6490313844
2.28001,34.8024737119
2.29001,37.9327732075
2.30000999999999,41.0197561901
2.31000999999999,44.0431415155
2.32000999999999,46.9830017385
2.33000999999999,49.8202377651
2.34000999999999,52.5370440883
2.35000999999999,55.1173406829
2.36000999999999,57.547148625
2.37000999999999,59.8148895596
2.38000999999999,61.911594014
2.39000999999999,63.831009709
2.40000999999999,65.5696080634
2.41000999999999,67.1264937283
2.42000999999999,68.5032281591
2.43000999999999,69.7035828455
2.44000999999999,70.7332407943
2.45000999999999,71.5994659956
2.46000999999999,72.3107600417
2.47000999999999,72.8765231148
2.48000999999999,73.3067336317
2.49000999999999,73.6116573757
2.50000999999999,73.8015933637
2.51000999999999,73.8866603412
2.52000999999999,73.8766248836
2.53000999999999,73.7807697573
2.54000999999999,73.6077994901
2.55000999999999,73.3657789931
2.56000999999999,73.0621004869
2.57000999999999,72.7034738227
2.58000999999999,72.2959354374
2.59000999999999,71.8448715515
2.60000999999999,71.3550517174
2.61000999999999,70.8306693823
2.62000999999999,70.2753867031
2.63000999999999,69.6923813889
2.64000999999999,69.0843938389
2.65000999999999,68.4537732776
2.66000999999999,67.8025219494
2.67000999999999,67.1323367406
2.68000999999999,66.4446478339
2.69000999999999,65.740654193
2.70000999999999,65.0213558157
2.71000999999999,64.2875827997
2.72000999999999,63.5400213419
2.73000999999999,62.7792368381
2.74000999999999,62.0056942836
2.75000999999999,61.2197761903
2.76000999999999,60.4217982406
2.77000999999998,59.6120228953
2.78000999999998,58.7906711661
2.79000999999998,57.95793275
2.80000999999998,57.11397471
2.81000999999998,56.2589488709
2.82000999999998,55.3929980856
2.83000999999998,54.516261509
2.84000999999998,53.628879006
2.85000999999998,52.7309948046
2.86000999999998,51.8227604923
2.87000999999998,50.9043374438
2.88000999999998,49.975898757
2.89000999999998,49.0376307644
2.90000999999998,48.08973418
2.91000999999998,47.1324249321
2.92000999999998,46.1659347286
2.93000999999998,45.190511393
2.94000999999998,44.2064190054
2.95000999999998,43.2139378782
2.96000999999998,42.2133643924
2.97000999999998,41.2050107155
2.98000999999998,40.1892044213
2.99000999999998,39.1662880273
3.00000999999998,38.1366184647
3.01000999999998,37.1005664914
3.02000999999998,36.058516061
3.03000999999998,35.0108636543
3.04000999999998,33.9580175824
3.05000999999998,32.9003972677
3.06000999999998,31.8384325083
3.07000999999998,30.7725627297
3.08000999999998,29.7032362298
3.09000999999998,28.6309094183
3.10000999999998,27.5560460551
3.11000999999998,26.4791164895
3.12000999999998,25.4005969018
3.13000999999998,24.3209685499
3.14000999999998,23.2407170219
3.15000999999998,22.1603314954
3.16000999999998,21.0803040056
3.17000999999998,20.0011287218
3.18000999999998,18.923301234
3.19000999999998,17.8473178498
3.20000999999998,16.7736749013
3.21000999999998,15.7028680639
3.22000999999998,14.6353916864
3.23000999999998,13.5717381324
3.24000999999997,12.5123971339
3.25000999999997,11.4578551574
3.26000999999997,10.4085947817
3.27000999999997,9.36509408917
3.28000999999997,8.32782606888
3.29000999999997,7.29725803346
3.30000999999997,6.27385104868
3.31000999999997,5.2580593766
3.32000999999997,4.25032993221
3.33000999999997,3.25110175403
3.34000999999997,2.26080548871
3.35000999999997,1.27986289
3.36000999999997,0.308686332393
3.37000999999997,0.652321660255
3.38000999999997,1.60276887084
3.39000999999997,2.54227382948
3.40000999999997,3.47046623795
3.41000999999997,4.38698737774
3.42000999999997,5.29149050128
3.43000999999997,6.183641206
3.44000999999997,7.06311779063
3.45000999999997,7.92961159359
3.46000999999997,8.78282731257
3.47000999999997,9.62248330538
3.48000999999997,10.4483118711
3.49000999999997,11.2600595115
3.50000999999997,12.0574871719
3.51000999999997,12.8403704612
3.52000999999997,13.6084998511
3.53000999999997,14.3616808525
3.54000999999997,15.0997341712
3.55000999999997,15.8224958399
3.56000999999997,16.5298173279
3.57000999999997,17.2215656277
3.58000999999997,17.8976233173
3.59000999999997,18.5578885998
3.60000999999997,19.2022753182
3.61000999999997,19.8307129461
3.62000999999997,20.4431465542
3.63000999999997,21.0395367527
3.64000999999997,21.6198596082
3.65000999999997,22.1841065375
3.66000999999997,22.732284176
3.67000999999997,23.2644142225
3.68000999999997,23.7805332601
3.69000999999997,24.2806925524
3.70000999999997,24.7649578183
