time,velocity
0.01001,8.88281291837
0.02001,8.17919973441
0.03001,7.47569734154
0.04001,6.77274412172
0.05001,6.07077636152
0.06001,5.37022783317
0.07001,4.67152937685
0.08001,3.97510848435
0.09001,3.2813888845
0.10001,2.5907901304
0.11001,1.90372718883
0.12001,1.22061003214
0.13001,0.541843232745
0.14001,0.132174439256
0.15001,0.801050415231
0.16001,1.46439872345
0.17001,2.12184038049
0.18001,2.77300377819
0.19001,3.41752506586
0.20001,4.0550485271
0.21001,4.68522695101
0.22001,5.30772199714
0.23001,5.9222045537
0.24001,6.52835508855
0.25001,7.12586399237
0.26001,7.7144319134
0.27001,8.29377008315
0.28001,8.86360063252
0.29001,9.42365689751
0.30001,9.97368371398
0.31001,10.5134377007
0.32001,11.0426875299
0.33001,11.5612141846
0.34001,12.0688112026
0.35001,12.5652849046
0.36001,13.0504546079
0.37001,13.5241528233
0.38001,13.9862254354
0.39001,14.4365318646
0.40001,14.8749452107
0.41001,15.3013523774
0.42001,15.7156541762
0.43001,16.1177654102
0.44001,16.5076149356
0.45001,16.8851457016
0.46001,17.2503147676
0.47001,17.6030932965
0.48001,17.9434665249
0.49001,18.271433708
0.50001,18.5870080412
0.51001,18.8902165552
0.52001,19.1810999868
0.53001,19.459712624
0.54001,19.7261221258
0.55001,19.9804093161
0.56001,20.2226679526
0.57001,20.4530044708
0.58001,20.671537703
0.59001,20.8783985727
0.60001,21.0737297659
0.61001,21.2576853789
0.62001,21.4304305442
0.63001,21.5921410344
0.64001,21.7430028465
0.65001,21.8832117666
0.66001,22.0129729164
0.67001,22.1325002838
0.68001,22.2420162376
0.69001,22.3417510285
0.70001,22.431942279
0.710010000000001,22.5128344615
0.72001,22.5846783687
0.730010000000001,22.6477305771
0.74001,22.7022529052
0.750010000000001,22.7485118687
0.760010000000001,22.7867781341
0.770010000000001,22.8173259742
0.780010000000001,22.8404327239
0.79001,22.8563782474
0.800010000000001,22.865444387
0.810010000000001,22.8679144769
0.82001,22.8640727859
0.830010000000001,22.8542040435
0.840010000000001,22.8385929407
0.850010000000001,22.8175236565
0.860010000000001,22.7912793992
0.870010000000001,22.7601419658
0.880010000000001,22.7243913193
0.890010000000001,22.6843051858
0.900010000000001,22.6401586731
0.910010000000001,22.59222391
0.920010000000001,22.5407697084
0.930010000000001,22.486061248
0.940010000000001,22.428359785
0.950010000000001,22.3679223835
0.960010000000001,22.3050016714
0.970010000000001,22.2398456208
0.980010000000001,22.1726973507
0.990010000000001,22.1037949556
1.00001,22.0333713556
1.01001,21.9616541711
1.02001,21.8888656195
1.03001,21.815222434
1.04001,21.7409358039
1.05001,21.666211336
1.06001,21.5912490358
1.07001,21.5162433072
1.08001,21.4413829715
1.09001,21.3668513034
1.10001,21.2928260824
1.11001,21.2194796614
1.12001,21.1469790478
1.13001,21.0754859995
1.14001,21.0051571321
1.15001,20.9361440384
1.16001,20.8685934171
1.17001,20.8026472121
1.18001,20.7384427586
1.19001,20.6761129385
1.20001,20.6157863399
1.21001,20.5575874241
1.22001,20.5016366958
1.23001,20.4480508774
1.24001,20.3969430866
1.25001,20.3484230151
1.26001,20.3025971089
1.27001,20.2595687492
1.28001,20.2194384324
1.29001,20.1823039491
1.30001,20.1482605619
1.31001,20.1174011791
1.32001,20.0898165264
1.33001,20.0655953137
1.34001,20.0448243974
1.35001,20.0275889371
1.36001,20.0139725452
1.37001,20.0040574302
1.38001,19.9979245313
1.39001,19.9956536439
1.40001,19.9973235356
1.41001,20.0030120499
1.42001,20.0127961993
1.43001,20.0267522427
1.44001,20.0449557497
1.45001,20.0674816471
1.46001,20.0944042469
1.47001,20.1257972545
1.48001,20.1617337541
1.49001,20.2022861688
1.50001,20.2475261927
1.51001,20.2975246923
1.52001,20.3523515729
1.53001,20.4120756068
1.54001,20.4767642176
1.55001,20.5464832173
1.56001,20.621296488
1.57001,20.7012656043
1.58001,20.7864493864
1.59001,20.876903378
1.60001,20.9726792374
1.61001,21.0738240324
1.62001,21.180379426
1.63001,21.2923807396
1.64001,21.4098558782
1.65001,21.5328240988
1.66001,21.6612946028
1.67001,21.7952649296
1.68001,21.9347191241
1.69001,22.0796256501
1.70001,22.229935015
1.71001,22.3855770674
1.72001,22.5464579253
1.73001,22.7124564836
1.74001,22.8834204459
1.75001,23.0591618156
1.76001,23.2394517731
1.77001,23.4240148553
1.78001,23.6125223427
1.79001,23.8045847442
1.80001,23.9997432562
1.81001,24.1974600536
1.82001,24.3971072512
1.83001,24.5979543491
1.84001,24.7991539519
1.85001,24.9997255195
1.86001,25.1985368729
1.87001,25.3942831402
1.88001,25.5854627825
1.89001,25.7703502889
1.90001,25.946965071
1.91001,26.1130360244
1.92001,26.2659611482
1.93001,26.4027615326
1.94001,26.5200289306
1.95001,26.6138660297
1.96001,26.6798184217
1.97001,26.7127971509
1.98001,26.7069905828
1.99001,26.6557642012
2.00001,26.5515467945
2.01001,26.3857013552
2.02001,26.148378887
2.03001,25.8283532136
2.04001,25.4128348307
2.05001,24.8872618627
2.06001,24.235066338
2.07001,23.4374143176
2.08001,22.4729190186
2.09001,21.3173270597
2.10001,19.9431795145
2.11001,18.3194518022
2.12001,16.4111799071
2.13001,14.1790854129
2.14001,11.5792189368
2.15001,8.56265148336
2.16001,5.07525692068
2.17001,1.05764732803
2.18001,3.55465240991
2.19001,8.83067248561
2.20001,14.8429502996
2.21001,21.665760916
2.22001,29.3723670685
2.23001,38.0309786779
2.24001,47.6990757465
2.25001,58.4157513232
2.26001,70.191810031
2.27001,82.9975634786
2.28001,96.7486561401
2.29001,111.290883487
2.30000999999999,126.385831542
2.31000999999999,141.700175844
2.32000999999999,156.802372754
2.33000999999999,171.170826665
2.34000999999999,184.216900788
2.35000999999999,195.323969021
2.36000999999999,138.698487381
2.37000999999999,35.31830521
2.38000999999999,35.5019588166
2.39000999999999,35.6736607556
2.40000999999999,35.8331450715
2.41000999999999,35.9801521918
2.42000999999999,36.1144294612
2.43000999999999,36.2357316355
2.44000999999999,36.3438213639
2.45000999999999,36.4384696622
2.46000999999999,36.5194563734
2.47000999999999,36.5865706151
2.48000999999999,36.6396112126
2.49000999999999,36.6783871164
2.50000999999999,36.7027178031
2.51000999999999,36.7124336587
2.52000999999999,36.7073763425
2.53000999999999,36.6873991326
2.54000999999999,36.6523672501
2.55000999999999,36.6021581629
2.56000999999999,36.5366618676
2.57000999999999,36.4557811489
2.58000999999999,36.3594318171
2.59000999999999,36.2475429221
2.60000999999999,36.1200569444
2.61000999999999,35.9769299622
2.62000999999999,35.8181317959
2.63000999999999,35.6436461284
2.64000999999999,35.4534706016
2.65000999999999,35.2476168905
2.66000999999999,35.0261107535
2.67000999999999,34.7889920598
2.68000999999999,34.5363147944
2.69000999999999,34.2681470412
2.70000999999999,33.9845709435
2.71000999999999,33.6856826446
2.72000999999999,33.3715922063
2.73000999999999,33.042423508
2.74000999999999,32.6983141262
2.75000999999999,32.3394151952
2.76000999999999,31.9658912488
2.77000999999998,31.5779200453
2.78000999999998,31.1756923754
2.79000999999998,30.7594118531
2.80000999999998,30.3292946925
2.81000999999998,29.8855694685
2.82000999999998,29.4284768645
2.83000999999998,28.9582694057
2.84000999999998,28.4752111806
2.85000999999998,27.9795775503
2.86000999999998,27.4716548461
2.87000999999998,26.9517400572
2.88000999999998,26.4201405076
2.89000999999998,25.8771735246
2.90000999999998,25.3231660976
2.91000999999998,24.7584545296
2.92000999999998,24.1833840806
2.93000999999998,23.5983086044
2.94000999999998,23.0035901783
2.95000999999998,22.3995987275
2.96000999999998,21.7867116437
2.97000999999998,21.1653133986
2.98000999999998,20.5357951527
2.99000999999998,19.8985543602
3.00000999999998,19.2539943699
3.01000999999998,18.6025240225
3.02000999999998,17.9445572453
3.03000999999998,17.2805126432
3.04000999999998,16.6108130881
3.05000999999998,15.9358853061
3.06000999999998,15.2561594618
